text,category
pothole near hospital entrance,Road
road cracked near bus depot,Road
waterlogging near school playground,Road
broken footpath near shopping complex,Road
missing divider reflectors on highway,Road
uneven road near railway crossing,Road
open manhole near residential street,Road
damaged road near temple area,Road
slippery mud on road after rain,Road
road sinking near drainage line,Road
construction sand spread across road,Road
deep pothole near traffic signal,Road
road patchwork uneven and rough,Road
broken footpath tiles near office,Road
water stagnation near petrol bunk,Road
road damage due to heavy trucks,Road
cracks on road near flyover,Road
loose stones on road causing accidents,Road
unfinished road repair near junction,Road
damaged roadside curb near park,Road
road dug up and not restored,Road
potholes near school bus stop,Road
uneven speed breaker causing jerks,Road
road flooded after small rain,Road
broken pedestrian path near mall,Road
missing road signs at intersection,Road
road collapse near drainage,Road
gravel spread across narrow road,Road
damaged asphalt near bridge,Road
open trench causing traffic delay,Road
pothole near school entrance,Road
deep pothole on main road,Road
road cracks causing vehicle damage,Road
waterlogging on street after rain,Road
broken footpath unsafe for walking,Road
damaged speed breaker near signal,Road
missing manhole cover on road,Road
open drainage on roadside,Road
accident due to bad road condition,Road
unauthorized digging on road,Road
road surface completely damaged,Road
uneven road causing traffic issues,Road
slippery road during rain,Road
road repair work incomplete,Road
footpath blocked by debris,Road
large cracks on highway,Road
road sinking near junction,Road
damaged divider on road,Road
broken roadside tiles,Road
construction debris on road,Road
massive pothole near the metro station stairs,Road
road surface eroded near the main market crossing,Road
cracked pavement causing senior citizens to trip,Road
illegal speed breaker built by residents in lane 4,Road
water stagnation on the highway flyover after drizzle,Road
missing storm drain cover on the bicycle track,Road
broken concrete slabs on the pedestrian walkway,Road
protruding iron rods from a half-finished road project,Road
road level is higher than house entrances after tarring,Road
potholes forming around the manhole perimeters,Road
deep ruts on the road caused by heavy transit trucks,Road
road painting for lane marking has completely vanished,Road
loose gravel scattered at the roundabout causing skids,Road
unfilled trench after fiber optic cable installation,Road
damaged road shoulder making it dangerous to pull over,Road
sinking road surface near the river bridge approach,Road
broken curb stones scattered on the main carriageway,Road
potholes filled with mud instead of bitumen,Road
road widening project left unfinished for six months,Road
sharp asphalt edges cutting vehicle tires,Road
collapsed road edge near the drainage canal,Road
cracks appearing on the new bypass road already,Road
slippery oil spill on the road near the fuel station,Road
damaged divider reflectors causing night accidents,Road
road signage fallen over near the intersection,Road
uneven patches after pipeline repair work,Road
missing cat-eyes on the dark stretch of the road,Road
construction debris dumped on the service road,Road
sinkhole opening up near the city center mall,Road
damaged expansion joints on the overhead bridge,Road
deep pothole causing bikers to fall near hospital,Road
road surface peeled off after heavy rain,Road
footpath tiles missing near school,Road
sharp road edge causing tire bursts,Road
zebra crossing marks faded completely,Road
speed breaker too high without marking,Road
waterlogging near subway entrance,Road
loose gravel causing skid accidents,Road
unauthorized digging left open,Road
broken divider with iron rods exposed,Road
road sinking near bridge,Road
missing reflectors on curve,Road
loose manhole cover making noise,Road
tree roots damaging pavement,Road
construction materials blocking road,Road
poor pothole repair reopened,Road
uneven road shoulder causing imbalance,Road
traffic signal hidden by trees,Road
illegal ramp constructed on road,Road
cracks widening due to heavy vehicles,Road
pothole near bus stop causing traffic,Road
water stagnation near market road,Road
broken footpath near park,Road
open drainage beside road,Road
public toilet floor dirty and muddy,Sanitation
no soap available in washroom,Sanitation
female toilet locked permanently,Sanitation
bad smell near toilet area,Sanitation
toilet seat broken,Sanitation
washbasin clogged and overflowing,Sanitation
walls dirty with stains,Sanitation
no disabled access ramp,Sanitation
exhaust fan not working,Sanitation
broken mirror in toilet,Sanitation
staff demanding extra money,Sanitation
roof leaking during rain,Sanitation
no sanitary bins available,Sanitation
water tank empty in toilet,Sanitation
door latch missing,Sanitation
slippery floor due to algae,Sanitation
mosquito breeding inside toilet,Sanitation
flush not working properly,Sanitation
toilet block not maintained,Sanitation
septic tank smell spreading,Sanitation
public toilet is very dirty,Sanitation
toilet not cleaned regularly,Sanitation
no water in public toilet,Sanitation
toilet locked and not accessible,Sanitation
bad smell in restroom area,Sanitation
broken flush in toilet,Sanitation
tap not working in restroom,Sanitation
no lights inside toilet,Sanitation
overflowing sewage in toilet,Sanitation
lack of maintenance staff in toilet,Sanitation
toilet floor is slippery,Sanitation
no proper ventilation in toilet,Sanitation
toilet door broken,Sanitation
unclean surroundings near toilet,Sanitation
toilet unhygienic for public use,Sanitation
restroom not usable at night,Sanitation
dirty water in toilet,Sanitation
sanitation issue near public area,Sanitation
waste accumulation in toilet,Sanitation
toilet maintenance very poor,Sanitation
public toilet has no water supply,Sanitation
restroom smells very bad,Sanitation
toilet floor covered with dirt,Sanitation
washroom not cleaned for days,Sanitation
toilet lights not working,Sanitation
broken tap in public toilet,Sanitation
toilet seat missing in restroom,Sanitation
overflowing toilet drain,Sanitation
no cleaning staff available,Sanitation
toilet area full of garbage,Sanitation
bad hygiene in public restroom,Sanitation
no handwash facility in toilet,Sanitation
toilet closed during daytime,Sanitation
dirty washbasin in restroom,Sanitation
toilet walls stained badly,Sanitation
lack of maintenance in toilet,Sanitation
toilet unusable due to smell,Sanitation
broken door in toilet stall,Sanitation
no proper water drainage in toilet,Sanitation
insects inside public toilet,Sanitation
toilet not safe for usage,Sanitation
slippery restroom floor,Road
no water bucket in toilet,Sanitation
toilet clogged frequently,Sanitation
poor lighting in restroom,Sanitation
toilet area not sanitized,Sanitation
public restroom not accessible,Sanitation
unclean toilet surroundings,Sanitation
broken fittings in washroom,Sanitation
no hygiene in toilet facility,Sanitation
public toilet not clean,Sanitation
toilet is very dirty and unusable,Sanitation
bad smell coming from washroom,Sanitation
no water in toilet facility,Sanitation
toilet not cleaned regularly,Sanitation
washroom hygiene is very poor,Sanitation
toilet floor is dirty and slippery,Sanitation
no cleaning staff for toilet,Sanitation
toilet maintenance is very bad,Sanitation
restroom not usable due to dirt,Sanitation
public toilet locked most of the time,Sanitation
toilet door broken and not closing,Sanitation
flush not working in restroom,Sanitation
tap not working in washroom,Sanitation
no soap available in toilet,Sanitation
no handwash in restroom,Sanitation
washbasin clogged and dirty,Sanitation
toilet seat broken,Sanitation
toilet walls stained and unclean,Sanitation
urinal not flushing properly,Sanitation
sewage overflow in toilet area,Sanitation
bad odor spreading from toilet,Sanitation
toilet area full of garbage,Sanitation
unclean surroundings near washroom,Sanitation
mosquito breeding in toilet area,Sanitation
toilet not maintained properly,Sanitation
restroom has no proper ventilation,Sanitation
no lights in toilet,Sanitation
toilet unsafe at night,Sanitation
water leaking inside washroom,Sanitation
toilet flooded with dirty water,Sanitation
public restroom hygiene very poor,Sanitation
toilet block in bad condition,Sanitation
toilet door latch missing,Sanitation
broken mirror in washroom,Sanitation
toilet roof leaking,Sanitation
floor always wet and dirty,Sanitation
toilet smells very bad,Sanitation
urinal area not cleaned,Sanitation
washroom not usable due to smell,Sanitation
dirty toilet seat,Sanitation
no dustbin in toilet,Sanitation
sanitary bins not available,Sanitation
toilet facility not hygienic,Sanitation
restroom cleaning not done daily,Sanitation
staff not maintaining cleanliness,Sanitation
toilet tiles broken,Sanitation
floor damaged in washroom,Sanitation
public toilet not accessible,Sanitation
toilet locked during peak time,Sanitation
no separate toilet for women,Sanitation
women restroom not available,Sanitation
toilet overcrowded and dirty,Sanitation
queue too long due to few toilets,Sanitation
toilet not safe for women,Sanitation
restroom has no privacy,Sanitation
toilet cleaning delayed,Sanitation
dirty water in washbasin,Sanitation
toilet drainage blocked,Sanitation
water stagnation inside toilet,Sanitation
toilet full of insects,Sanitation
flies inside washroom,Sanitation
poor sanitation near public area,Sanitation
waste accumulation near toilet,Sanitation
toilet area unhygienic,Sanitation
restroom needs urgent cleaning,Sanitation
toilet maintenance required,Sanitation
cleaning not done for days,Sanitation
toilet smell reaching nearby shops,Sanitation
public restroom poorly maintained,Sanitation
toilet not usable due to broken parts,Sanitation
handwash area dirty,Sanitation
no water bucket in toilet,Sanitation
mug missing in restroom,Sanitation
caretaker not present in toilet,Sanitation
staff charging extra money,Sanitation
toilet fee higher than allowed,Sanitation
dirty surroundings near toilet,Sanitation
toilet entrance full of garbage,Sanitation
broken exhaust fan in washroom,Sanitation
no air circulation in restroom,Sanitation
toilet suffocating due to no ventilation,Sanitation
public toilet very congested,Sanitation
washroom too dirty to use,Sanitation
bad sanitation near food area,Sanitation
toilet hygiene affecting nearby shops,Sanitation
dirty drainage near toilet,Sanitation
restroom in poor condition,Sanitation
toilet cleaning not satisfactory,Sanitation
toilet usage not monitored,Sanitation
restroom condition very bad,Sanitation
bus not stopping at designated stop,Transport
bus arriving too early than schedule,Transport
overcrowded bus during office hours,Transport
bus conductor rude to passengers,Transport
bus route information not displayed,Transport
bus seats very uncomfortable,Transport
